YEAR,MAKE,ENGINE_SIZE,CYLINDERS,FUEL,FUEL_CONSUMPTION,HWY_L_PER_100KM,COMB_L_PER_100KM,COMB_MPG,CO2_EMISSIONS,BROAD_VEHICLE_CLASS,TRANSMISSION_GROUP
2009,BMW,5.0,10.0,Premium_gasoline,19.8,11.8,16.3,17.0,375.0,medium_car,Manual
2002,BMW,3.0,6.0,Premium_gasoline,14.7,10.8,12.9,22.0,297.0,other,Basic Automatic
2020,BMW,4.4,8.0,Premium_gasoline,14.5,9.9,12.4,23.0,290.0,small_car,Advanced Automatic
2019,Jaguar,3.0,6.0,Premium_gasoline,14.9,9.8,12.6,22.0,296.0,other,Manual
2020,Audi,2.5,5.0,Premium_gasoline,12.1,8.4,10.4,27.0,243.0,small_car,Automated Manual
2020,Lexus,2.0,4.0,Regular_gasoline,5.7,6.2,6.0,47.0,140.0,small_car,CVT
2022,Mercedes-Benz,2.0,4.0,Premium_gasoline,11.2,8.2,9.8,29.0,229.0,medium_car,Advanced Automatic
2022,Lexus,2.4,4.0,Premium_gasoline,10.5,8.3,9.5,30.0,221.0,other,Advanced Automatic
2009,BMW,4.4,8.0,Premium_gasoline,17.1,11.0,14.3,20.0,329.0,other,Standard Automatic
2022,Honda,2.0,4.0,Regular_gasoline,7.7,6.0,6.9,41.0,162.0,medium_car,CVT
2020,BMW,2.0,4.0,Premium_gasoline,10.0,8.2,9.2,31.0,215.0,other,Advanced Automatic
2019,Honda,1.5,4.0,Premium_gasoline,8.4,6.2,7.4,38.0,173.0,small_car,Manual
2005,BMW,3.0,6.0,Premium_gasoline,11.3,7.2,9.5,30.0,218.0,medium_car,Automated Manual
2022,Land Rover,3.0,6.0,Premium_gasoline,13.5,10.8,12.3,23.0,287.0,other,Advanced Automatic
2021,Mercedes-Benz,3.0,6.0,Premium_gasoline,11.3,8.7,10.1,28.0,238.0,medium_car,Advanced Automatic
2020,Ford,3.5,6.0,Regular_gasoline,15.3,13.1,14.3,20.0,336.0,pick_up_truck,Advanced Automatic
2010,BMW,3.0,6.0,Premium_gasoline,12.7,8.3,10.7,26.0,246.0,other,Manual
2018,Porsche,3.0,6.0,Premium_gasoline,11.8,9.2,10.6,27.0,248.0,other,Automated Manual
2022,Porsche,4.0,6.0,Premium_gasoline,15.7,12.7,14.4,20.0,335.0,other,Automated Manual
2004,BMW,4.4,8.0,Premium_gasoline,14.8,9.9,12.6,22.0,290.0,other,Standard Automatic
2009,BMW,3.0,6.0,Premium_gasoline,12.0,7.9,10.1,28.0,232.0,small_car,Manual
2019,Toyota,2.5,4.0,Regular_gasoline,5.3,5.0,5.1,55.0,121.0,medium_car,CVT
2022,BMW,3.0,6.0,Premium_gasoline,14.7,10.1,12.6,22.0,293.0,small_car,Manual
2022,Porsche,3.7,6.0,Premium_gasoline,16.0,11.8,14.1,20.0,328.0,other,Automated Manual
2005,BMW,3.0,6.0,Premium_gasoline,12.2,7.5,10.1,28.0,232.0,medium_car,Standard Automatic
2007,BMW,4.8,8.0,Premium_gasoline,13.8,8.7,11.5,25.0,264.0,large_car,Standard Automatic
2014,BMW,3.0,6.0,Premium_gasoline,10.3,6.5,8.6,33.0,198.0,small_car,Standard Automatic
2021,Ford,3.3,6.0,Regular_gasoline,10.1,9.0,9.6,29.0,225.0,other,Advanced Automatic
2018,Ford,3.5,6.0,Regular_gasoline,14.7,10.2,12.7,22.0,298.0,other,Advanced Automatic
2018,Volvo,2.0,4.0,Premium_gasoline,11.4,8.7,10.2,28.0,240.0,other,Advanced Automatic
2022,Toyota,1.8,4.0,Regular_gasoline,7.9,6.2,7.1,40.0,166.0,small_car,CVT
2020,Volkswagen,1.4,4.0,Regular_gasoline,7.8,5.9,7.0,40.0,162.0,small_car,Advanced Automatic
2018,Mercedes-Benz,3.0,6.0,Premium_gasoline,11.6,8.2,10.1,28.0,236.0,other,Advanced Automatic
2018,Ford,5.0,8.0,Regular_gasoline,16.1,12.4,14.5,19.0,339.0,pick_up_truck,Advanced Automatic
2004,BMW,4.4,8.0,Premium_gasoline,13.1,8.3,10.9,26.0,251.0,large_car,Standard Automatic
2022,Ford,3.5,6.0,Regular_gasoline,14.3,11.8,13.2,21.0,310.0,pick_up_truck,Advanced Automatic
2018,Ford,1.5,4.0,Regular_gasoline,10.7,8.3,9.6,29.0,226.0,other,Advanced Automatic
2018,Porsche,2.5,4.0,Premium_gasoline,12.1,9.0,10.7,26.0,249.0,other,Manual
2020,Land Rover,2.0,4.0,Premium_gasoline,12.3,9.8,11.1,25.0,262.0,other,Advanced Automatic
2021,BMW,4.4,8.0,Premium_gasoline,16.0,11.0,13.8,20.0,323.0,medium_car,Advanced Automatic
2010,BMW,4.4,8.0,Premium_gasoline,15.4,10.0,13.0,22.0,299.0,large_car,Standard Automatic
2019,Volvo,2.0,4.0,Premium_gasoline,11.1,7.3,9.4,30.0,218.0,small_car,Advanced Automatic
2019,Jaguar,5.0,8.0,Premium_gasoline,15.6,10.4,13.3,21.0,311.0,other,Advanced Automatic
2006,BMW,2.5,6.0,Premium_gasoline,12.7,8.2,10.7,26.0,246.0,small_car,Standard Automatic
2018,Ford,2.0,4.0,Regular_gasoline,11.2,7.6,9.6,29.0,225.0,medium_car,Advanced Automatic
2009,BMW,3.0,6.0,Premium_gasoline,12.2,7.9,10.3,27.0,237.0,small_car,Standard Automatic
2000,BMW,2.8,6.0,Premium_gasoline,11.5,7.5,9.7,29.0,223.0,small_car,Manual
2020,Lexus,3.5,6.0,Regular_gasoline,10.7,7.2,9.1,31.0,213.0,medium_car,Advanced Automatic
2021,Ford,2.7,6.0,Regular_gasoline,14.0,13.9,13.9,20.0,327.0,other,Advanced Automatic
2019,Ford,2.3,4.0,Regular_gasoline,11.8,8.4,10.3,27.0,241.0,small_car,Manual
2022,Ford,2.7,6.0,Regular_gasoline,12.6,9.3,11.2,25.0,262.0,other,Advanced Automatic
2020,Toyota,5.7,8.0,Regular_gasoline,18.5,13.9,16.4,17.0,385.0,other,Advanced Automatic
2021,Ford,5.0,8.0,Regular_gasoline,16.6,10.5,13.9,20.0,325.0,small_car,Manual
2020,Volvo,2.0,4.0,Premium_gasoline,10.7,7.7,9.4,30.0,219.0,other,Advanced Automatic
2015,BMW,3.0,6.0,Diesel,9.9,7.2,8.7,32.0,235.0,other,Advanced Automatic
2022,Porsche,3.0,6.0,Premium_gasoline,13.8,9.6,11.9,24.0,278.0,other,Manual
2022,Subaru,2.0,4.0,Regular_gasoline,10.1,7.5,9.0,31.0,209.0,medium_car,Manual
2013,BMW,3.0,6.0,Premium_gasoline,12.4,8.5,10.6,27.0,244.0,small_car,Automated Manual
2022,Honda,1.5,4.0,Regular_gasoline,8.1,6.8,7.5,38.0,176.0,large_car,CVT
2019,BMW,3.0,6.0,Premium_gasoline,11.4,7.6,9.7,29.0,228.0,small_car,Advanced Automatic
2021,Volvo,2.0,4.0,Premium_gasoline,11.1,8.3,9.9,29.0,230.0,other,Advanced Automatic
2017,BMW,3.0,6.0,Premium_gasoline,11.4,7.8,9.8,29.0,228.0,small_car,Advanced Automatic
2022,Lexus,2.0,4.0,Regular_gasoline,8.0,6.3,7.2,39.0,168.0,medium_car,Advanced Automatic
2002,BMW,2.5,6.0,Premium_gasoline,12.2,8.3,10.4,27.0,239.0,small_car,Basic Automatic
2001,BMW,3.0,6.0,Premium_gasoline,11.6,7.7,9.8,29.0,225.0,small_car,Basic Automatic
2018,Honda,3.5,6.0,Regular_gasoline,13.0,9.3,11.3,25.0,266.0,other,Standard Automatic
2021,Subaru,2.4,4.0,Regular_gasoline,10.1,7.9,9.1,31.0,213.0,other,CVT
2022,Mercedes-Benz,2.0,4.0,Premium_gasoline,11.5,8.5,10.1,28.0,237.0,other,Advanced Automatic
2015,BMW,3.0,6.0,Premium_gasoline,9.7,7.5,8.7,32.0,200.0,small_car,Advanced Automatic
2018,Honda,1.5,4.0,Premium_gasoline,8.0,6.2,7.2,39.0,167.0,large_car,Manual
2021,Ford,2.5,4.0,Regular_gasoline,5.4,6.3,5.8,49.0,136.0,other,CVT
2000,BMW,2.5,6.0,Premium_gasoline,11.9,8.0,10.1,28.0,232.0,small_car,Manual
2022,Mercedes-Benz,2.0,4.0,Premium_gasoline,10.8,7.9,9.5,30.0,221.0,small_car,Automated Manual
2022,Porsche,4.0,6.0,Premium_gasoline,17.0,13.1,15.2,19.0,355.0,other,Manual
2011,BMW,4.0,8.0,Premium_gasoline,15.6,10.1,13.1,22.0,301.0,small_car,Automated Manual
2018,Honda,3.5,6.0,Regular_gasoline,12.4,9.3,11.0,26.0,256.0,other,Advanced Automatic
2013,BMW,3.0,6.0,Premium_gasoline,10.6,6.8,8.9,32.0,205.0,small_car,Manual
2020,Land Rover,2.0,4.0,Premium_gasoline,11.8,8.7,10.4,27.0,245.0,other,Advanced Automatic
2022,Ford,2.0,4.0,Regular_gasoline,10.7,8.1,9.6,29.0,226.0,pick_up_truck,Standard Automatic
2018,Ford,3.5,6.0,Ethanol,18.7,13.0,16.2,17.0,269.0,other,Advanced Automatic
2018,Ford,3.5,6.0,Regular_gasoline,14.9,11.2,13.2,21.0,311.0,other,Advanced Automatic
2018,Porsche,3.0,6.0,Premium_gasoline,11.8,9.2,10.6,27.0,249.0,other,Automated Manual
2019,Subaru,2.0,4.0,Premium_gasoline,11.2,8.3,9.9,29.0,231.0,other,Manual
2021,Ford,2.7,6.0,Regular_gasoline,12.8,11.6,12.2,23.0,287.0,other,Advanced Automatic
2018,Mercedes-Benz,4.0,8.0,Premium_gasoline,13.8,10.1,12.1,23.0,285.0,small_car,Standard Automatic
2019,Porsche,4.0,6.0,Premium_gasoline,16.4,11.2,14.1,20.0,334.0,other,Manual
2014,BMW,4.4,8.0,Premium_gasoline,15.6,9.8,13.0,22.0,299.0,small_car,Automated Manual
2022,Ford,3.3,6.0,Ethanol,17.3,13.1,15.4,18.0,256.0,pick_up_truck,Advanced Automatic
2001,BMW,2.5,6.0,Premium_gasoline,11.8,8.1,10.1,28.0,232.0,other,Basic Automatic
2019,Land Rover,3.0,6.0,Premium_gasoline,13.0,10.0,11.6,24.0,273.0,other,Advanced Automatic
2020,BMW,4.4,8.0,Premium_gasoline,16.0,11.0,13.8,20.0,322.0,small_car,Advanced Automatic
2021,Audi,4.0,8.0,Premium_gasoline,18.0,12.3,15.4,18.0,360.0,other,Advanced Automatic
2018,Subaru,2.5,4.0,Regular_gasoline,9.4,7.3,8.5,33.0,198.0,other,CVT
2020,BMW,2.0,4.0,Premium_gasoline,10.6,7.3,9.1,31.0,213.0,small_car,Advanced Automatic
2001,BMW,2.5,6.0,Premium_gasoline,11.8,7.9,10.0,28.0,230.0,small_car,Basic Automatic
2018,Jaguar,3.0,6.0,Premium_gasoline,11.9,8.5,10.4,27.0,242.0,other,Advanced Automatic
2018,Volvo,2.0,4.0,Regular_gasoline,11.0,8.1,9.7,29.0,226.0,small_car,Advanced Automatic
2020,Toyota,3.5,6.0,Regular_gasoline,10.9,7.6,9.4,30.0,220.0,medium_car,Advanced Automatic
2016,BMW,4.4,8.0,Premium_gasoline,17.3,11.5,14.7,19.0,344.0,medium_car,Automated Manual
2010,BMW,5.0,10.0,Premium_gasoline,19.9,11.8,16.2,17.0,373.0,small_car,Manual
2020,Volvo,2.0,4.0,Premium_gasoline,10.5,7.1,8.9,32.0,208.0,small_car,Advanced Automatic
2010,BMW,3.0,6.0,Premium_gasoline,11.7,7.6,9.8,29.0,225.0,small_car,Manual
2022,Hyundai,2.5,4.0,Regular_gasoline,8.8,6.4,7.7,37.0,182.0,large_car,Advanced Automatic
2021,Mercedes-Benz,4.0,8.0,Premium_gasoline,13.7,9.1,11.6,24.0,273.0,small_car,Advanced Automatic
2006,BMW,3.0,6.0,Premium_gasoline,13.8,8.8,11.5,25.0,264.0,other,Manual
2019,BMW,2.0,4.0,Premium_gasoline,10.2,7.2,8.8,32.0,207.0,small_car,Advanced Automatic
2019,BMW,4.4,8.0,Premium_gasoline,14.0,9.6,12.0,24.0,282.0,small_car,Advanced Automatic
2011,BMW,4.4,8.0,Premium_gasoline,15.6,9.7,13.0,22.0,299.0,large_car,Standard Automatic
2018,Mercedes-Benz,3.0,6.0,Premium_gasoline,12.8,8.5,10.9,26.0,255.0,medium_car,Advanced Automatic
2021,BMW,4.4,8.0,Premium_gasoline,14.4,10.6,12.7,22.0,302.0,other,Advanced Automatic
2014,BMW,4.4,8.0,Premium_gasoline,15.6,9.8,13.0,22.0,299.0,small_car,Automated Manual
2022,Ford,3.5,6.0,Regular_gasoline,16.8,13.2,15.2,19.0,357.0,pick_up_truck,Advanced Automatic
2021,Porsche,2.9,6.0,Premium_gasoline,12.8,10.2,11.7,24.0,274.0,large_car,Automated Manual
2019,Mercedes-Benz,2.0,4.0,Premium_gasoline,9.8,6.8,8.4,34.0,196.0,small_car,Automated Manual
2019,Ford,2.0,4.0,Regular_gasoline,5.5,5.6,5.6,50.0,131.0,medium_car,CVT
2001,BMW,4.4,8.0,Premium_gasoline,13.8,9.2,11.7,24.0,269.0,medium_car,Basic Automatic
2019,Volvo,2.0,4.0,Premium_gasoline,11.1,7.3,9.4,30.0,219.0,medium_car,Advanced Automatic
2019,Land Rover,5.0,8.0,Premium_gasoline,17.9,12.7,15.5,18.0,365.0,other,Advanced Automatic
2021,Ford,2.3,4.0,Regular_gasoline,12.4,9.3,11.0,26.0,258.0,small_car,Manual
2020,Volkswagen,1.4,4.0,Regular_gasoline,7.9,5.9,7.0,40.0,163.0,small_car,Manual
2019,Porsche,3.0,6.0,Premium_gasoline,13.2,9.2,11.4,25.0,266.0,other,Manual
2022,Jaguar,5.0,8.0,Premium_gasoline,14.1,9.7,12.1,23.0,286.0,other,Advanced Automatic
2010,BMW,3.0,6.0,Premium_gasoline,12.1,7.9,10.2,28.0,235.0,small_car,Manual
2015,BMW,3.0,6.0,Premium_gasoline,13.7,9.0,11.6,24.0,267.0,small_car,Manual
2018,Ford,3.0,6.0,Diesel,10.8,8.4,9.7,29.0,260.0,pick_up_truck,Advanced Automatic
2018,Toyota,4.0,6.0,Regular_gasoline,14.3,11.9,13.2,21.0,308.0,other,Advanced Automatic
2020,Mercedes-Benz,3.0,6.0,Premium_gasoline,12.7,10.1,11.6,24.0,271.0,small_car,Advanced Automatic
2009,BMW,4.0,8.0,Premium_gasoline,15.3,9.7,12.8,22.0,294.0,small_car,Manual
2004,BMW,2.5,6.0,Premium_gasoline,12.3,8.0,10.4,27.0,239.0,small_car,Basic Automatic
2018,Lexus,2.5,4.0,Regular_gasoline,7.2,7.9,7.5,38.0,176.0,other,CVT
2008,BMW,3.0,6.0,Premium_gasoline,11.1,7.0,9.3,30.0,214.0,small_car,Standard Automatic
2011,BMW,4.0,8.0,Premium_gasoline,15.7,10.1,13.2,21.0,304.0,small_car,Manual
2022,Toyota,2.4,4.0,Premium_gasoline,11.9,8.7,10.5,27.0,246.0,other,Manual
2021,Mercedes-Benz,2.0,4.0,Premium_gasoline,11.6,8.8,10.4,27.0,243.0,other,Automated Manual
2021,Mercedes-Benz,3.0,6.0,Premium_gasoline,11.3,8.0,9.8,29.0,230.0,large_car,Advanced Automatic
2018,Mercedes-Benz,2.0,4.0,Premium_gasoline,10.7,8.3,9.6,29.0,225.0,medium_car,Automated Manual
2022,Toyota,2.5,4.0,Regular_gasoline,8.5,6.8,7.7,37.0,180.0,other,Advanced Automatic
2010,BMW,3.0,6.0,Premium_gasoline,11.7,7.6,9.8,29.0,225.0,small_car,Manual
2018,Volkswagen,2.0,4.0,Regular_gasoline,11.3,8.8,10.2,28.0,237.0,other,Advanced Automatic
2020,Audi,4.0,8.0,Premium_gasoline,17.6,10.7,14.5,19.0,339.0,large_car,Advanced Automatic
2005,BMW,2.5,6.0,Premium_gasoline,11.7,7.8,9.9,29.0,228.0,other,Manual
2017,BMW,3.0,6.0,Premium_gasoline,12.7,9.1,11.1,25.0,260.0,other,Advanced Automatic
2020,Mercedes-Benz,4.0,8.0,Premium_gasoline,13.5,8.6,11.3,25.0,265.0,large_car,Advanced Automatic
2021,Mercedes-Benz,4.0,8.0,Premium_gasoline,13.5,8.9,11.4,25.0,269.0,small_car,Advanced Automatic
2020,BMW,6.6,12.0,Premium_gasoline,17.8,11.9,15.1,19.0,354.0,large_car,Advanced Automatic
2019,Honda,1.5,4.0,Regular_gasoline,7.6,6.5,7.0,40.0,166.0,small_car,CVT
2018,Ford,3.0,6.0,Diesel,11.8,9.3,10.7,26.0,288.0,pick_up_truck,Advanced Automatic
2004,BMW,2.5,6.0,Premium_gasoline,10.6,6.8,8.9,32.0,205.0,small_car,Automated Manual
2021,Ford,5.0,8.0,Regular_gasoline,15.3,10.1,12.9,22.0,303.0,small_car,Advanced Automatic
2018,Ford,3.3,6.0,Regular_gasoline,12.4,9.8,11.2,25.0,263.0,pick_up_truck,Advanced Automatic
2020,Volkswagen,2.0,4.0,Regular_gasoline,10.2,6.9,8.7,32.0,205.0,medium_car,Advanced Automatic
2015,BMW,2.0,4.0,Diesel,7.6,5.5,6.7,42.0,181.0,small_car,Advanced Automatic
2020,Porsche,3.0,6.0,Premium_gasoline,12.2,8.9,10.7,26.0,250.0,large_car,Automated Manual
2021,Porsche,3.0,6.0,Premium_gasoline,13.1,10.2,11.8,24.0,274.0,other,Automated Manual
2018,Porsche,3.0,6.0,Premium_gasoline,12.2,8.5,10.5,27.0,246.0,other,Manual
2007,BMW,3.0,6.0,Premium_gasoline,11.3,7.1,9.3,30.0,214.0,medium_car,Standard Automatic
2020,Ford,2.5,4.0,Regular_gasoline,5.5,6.4,5.9,48.0,139.0,other,CVT
2018,Volkswagen,1.8,4.0,Regular_gasoline,11.1,7.8,9.6,29.0,225.0,small_car,Manual
2022,Volvo,2.0,4.0,Premium_gasoline,11.3,7.5,9.6,29.0,224.0,small_car,Advanced Automatic
2015,BMW,3.0,6.0,Premium_gasoline,11.9,7.8,10.0,28.0,230.0,small_car,Advanced Automatic
2012,BMW,4.4,8.0,Premium_gasoline,13.5,8.3,11.1,25.0,255.0,medium_car,Standard Automatic
2010,BMW,4.4,8.0,Premium_gasoline,12.6,10.3,11.6,24.0,267.0,other,Standard Automatic
2020,Audi,2.9,6.0,Premium_gasoline,12.9,8.5,10.9,26.0,255.0,medium_car,Advanced Automatic
2022,BMW,3.0,6.0,Premium_gasoline,15.7,11.7,13.9,20.0,323.0,other,Advanced Automatic
2020,Ford,2.3,4.0,Regular_gasoline,12.1,9.1,10.7,26.0,252.0,small_car,Manual
2019,Ford,5.0,8.0,Ethanol,20.3,14.0,17.4,16.0,290.0,pick_up_truck,Advanced Automatic
2018,Porsche,2.0,4.0,Premium_gasoline,10.5,8.0,9.4,30.0,219.0,other,Automated Manual
2019,Ford,3.3,6.0,Ethanol,16.7,12.6,14.9,19.0,247.0,pick_up_truck,Advanced Automatic
2019,Ford,5.0,8.0,Regular_gasoline,15.6,11.8,13.9,20.0,326.0,pick_up_truck,Advanced Automatic
2003,BMW,2.5,6.0,Premium_gasoline,12.2,8.3,10.4,27.0,239.0,small_car,Basic Automatic
2021,Porsche,4.0,8.0,Premium_gasoline,15.3,11.2,13.5,21.0,326.0,large_car,Automated Manual
2021,Ford,2.7,6.0,Regular_gasoline,12.8,10.0,11.5,25.0,271.0,pick_up_truck,Advanced Automatic
2009,BMW,3.0,6.0,Premium_gasoline,11.3,7.0,9.3,30.0,214.0,small_car,Manual
2011,BMW,3.0,6.0,Premium_gasoline,10.1,6.5,8.5,33.0,196.0,medium_car,Standard Automatic
2019,Porsche,2.5,4.0,Premium_gasoline,12.1,9.0,10.7,26.0,249.0,other,Manual
2019,Ford,2.0,4.0,Regular_gasoline,10.9,8.0,9.6,29.0,224.0,other,Advanced Automatic
2004,BMW,3.0,6.0,Premium_gasoline,11.7,7.2,9.7,29.0,223.0,medium_car,Manual
2022,BMW,3.0,6.0,Premium_gasoline,11.2,9.1,10.3,27.0,241.0,other,Advanced Automatic
2011,BMW,3.0,6.0,Premium_gasoline,11.3,7.2,9.5,30.0,218.0,small_car,Standard Automatic
2008,BMW,3.0,6.0,Premium_gasoline,12.2,8.3,10.5,27.0,242.0,other,Standard Automatic
2018,BMW,3.0,6.0,Premium_gasoline,13.0,9.8,11.5,25.0,270.0,other,Advanced Automatic
2018,Audi,3.0,6.0,Premium_gasoline,12.7,10.0,11.5,25.0,270.0,other,Automated Manual
2013,BMW,3.0,6.0,Premium_gasoline,11.4,7.4,9.6,29.0,221.0,small_car,Standard Automatic
2019,Volkswagen,2.0,4.0,Premium_gasoline,11.4,8.2,9.9,29.0,232.0,small_car,Manual
2018,Lexus,3.5,6.0,Premium_gasoline,8.0,6.9,7.5,38.0,176.0,medium_car,CVT
2021,Ford,2.3,4.0,Regular_gasoline,13.8,12.4,13.2,21.0,310.0,other,Manual
